state,district,month,total_enroll,total_updates,service_load,next_month_service_load
Andhra Pradesh,Kurnool,2025-11,4042,41231,45273,16566
Andhra Pradesh,Mahabub Nagar,2025-09,743,3473,4216,3042
Andhra Pradesh,Mahabub Nagar,2025-10,432,2610,3042,2090
Andhra Pradesh,Mahabub Nagar,2025-11,449,1641,2090,530
Andhra Pradesh,Mahabubnagar,2025-09,3,1,4,1
Andhra Pradesh,Mahabubnagar,2025-10,1,0,1,3
Andhra Pradesh,Mahbubnagar,2025-09,317,1328,1645,1429
Andhra Pradesh,Mahbubnagar,2025-10,215,1214,1429,976
Andhra Pradesh,Mahbubnagar,2025-11,224,752,976,394
Andhra Pradesh,Medak,2025-09,621,2710,3331,2853
Andhra Pradesh,Medak,2025-10,385,2468,2853,2718
Andhra Pradesh,Medak,2025-11,458,2260,2718,564
Andhra Pradesh,N T R,2025-09,326,1645,1971,1208
Andhra Pradesh,N T R,2025-10,201,1007,1208,2471
Andhra Pradesh,N T R,2025-11,375,2096,2471,1006
Andhra Pradesh,Nalgonda,2025-09,546,3432,3978,3626
Andhra Pradesh,Nalgonda,2025-10,321,3305,3626,2736
Andhra Pradesh,Nalgonda,2025-11,348,2388,2736,758
Andhra Pradesh,Nandyal,2025-09,261,701,962,1386
Andhra Pradesh,Nandyal,2025-10,245,1141,1386,1569
Andhra Pradesh,Nandyal,2025-11,335,1234,1569,565
Andhra Pradesh,Nellore,2025-09,2003,11936,13939,16211
Andhra Pradesh,Nellore,2025-10,1203,15008,16211,20249
Andhra Pradesh,Nellore,2025-11,1970,18279,20249,7432
Andhra Pradesh,Nizamabad,2025-09,222,795,1017,1189
Andhra Pradesh,Nizamabad,2025-10,184,1005,1189,776
Andhra Pradesh,Nizamabad,2025-11,151,625,776,293
Andhra Pradesh,Palnadu,2025-09,309,864,1173,896
Andhra Pradesh,Palnadu,2025-10,182,714,896,1228
Andhra Pradesh,Palnadu,2025-11,230,998,1228,818
Andhra Pradesh,Parvathipuram Manyam,2025-09,194,456,650,735
Andhra Pradesh,Parvathipuram Manyam,2025-10,132,603,735,834
Andhra Pradesh,Parvathipuram Manyam,2025-11,150,684,834,402
Andhra Pradesh,Prakasam,2025-07,237,562,799,20763
Andhra Pradesh,Prakasam,2025-09,3007,17756,20763,21580
Andhra Pradesh,Prakasam,2025-10,1720,19860,21580,28304
Andhra Pradesh,Prakasam,2025-11,2536,25768,28304,8472
Andhra Pradesh,Rangareddi,2025-09,717,4444,5161,4797
Andhra Pradesh,Rangareddi,2025-10,525,4272,4797,4686
Andhra Pradesh,Rangareddi,2025-11,692,3994,4686,1707
Andhra Pradesh,Spsr Nellore,2025-03,116,0,116,1348
Andhra Pradesh,Spsr Nellore,2025-06,1348,0,1348,719
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,633,1301,1934,1522
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,366,1156,1522,1981
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,566,1415,1981,716
Andhra Pradesh,Sri Sathya Sai,2025-09,284,894,1178,1289
Andhra Pradesh,Sri Sathya Sai,2025-10,229,1060,1289,1513
Andhra Pradesh,Sri Sathya Sai,2025-11,306,1207,1513,827
Andhra Pradesh,Srikakulam,2025-09,1603,13907,15510,19234
Andhra Pradesh,Srikakulam,2025-10,1020,18214,19234,20662
Andhra Pradesh,Srikakulam,2025-11,1598,19064,20662,6822
Andhra Pradesh,Tirupati,2025-09,657,1246,1903,1157
Andhra Pradesh,Tirupati,2025-10,263,894,1157,2852
Andhra Pradesh,Tirupati,2025-11,650,2202,2852,1695
Andhra Pradesh,Visakhapatnam,2025-09,2869,26003,28872,26740
Andhra Pradesh,Visakhapatnam,2025-10,1879,24861,26740,38852
Andhra Pradesh,Visakhapatnam,2025-11,2988,35864,38852,14513
Andhra Pradesh,Vizianagaram,2025-09,1475,10820,12295,13829
Andhra Pradesh,Vizianagaram,2025-10,919,12910,13829,18176
Andhra Pradesh,Vizianagaram,2025-11,1378,16798,18176,6223
Andhra Pradesh,Warangal,2025-09,437,3882,4319,3720
Andhra Pradesh,Warangal,2025-10,336,3384,3720,2321
Andhra Pradesh,Warangal,2025-11,305,2016,2321,1119
Andhra Pradesh,West Godavari,2025-09,2291,16658,18949,17681
Andhra Pradesh,West Godavari,2025-10,1257,16424,17681,24844
Andhra Pradesh,West Godavari,2025-11,2206,22638,24844,7560
Andhra Pradesh,Y S R,2025-09,285,1286,1571,934
Andhra Pradesh,Y S R,2025-10,171,763,934,1669
Andhra Pradesh,Y S R,2025-11,295,1374,1669,493
Assam,Bajali,2025-09,12,20,32,5
Assam,Bajali,2025-10,4,1,5,26
Assam,Bajali,2025-11,10,16,26,11
Assam,Baksa,2025-03,38,0,38,2995
Assam,Baksa,2025-04,1078,1917,2995,285
Assam,Baksa,2025-05,82,203,285,114
Assam,Baksa,2025-06,52,62,114,393
Assam,Baksa,2025-07,220,173,393,3437
Assam,Baksa,2025-09,844,2593,3437,3461
Assam,Baksa,2025-10,671,2790,3461,3862
Assam,Baksa,2025-11,618,3244,3862,2384
Assam,Barpeta,2025-03,68,0,68,1249
Assam,Barpeta,2025-04,215,1034,1249,982
Assam,Barpeta,2025-05,183,799,982,4247
Assam,Barpeta,2025-06,1179,3068,4247,8624
Assam,Barpeta,2025-07,4389,4235,8624,24195
Assam,Barpeta,2025-09,4283,19912,24195,24960
Assam,Barpeta,2025-10,1960,23000,24960,20134
Assam,Barpeta,2025-11,2307,17827,20134,8302
Assam,Biswanath,2025-04,250,554,804,2189
Assam,Biswanath,2025-09,398,1791,2189,1727
Assam,Biswanath,2025-10,237,1490,1727,1529
Assam,Biswanath,2025-11,391,1138,1529,950
Assam,Bongaigaon,2025-03,89,0,89,5705
Assam,Bongaigaon,2025-04,369,5336,5705,1173
Assam,Bongaigaon,2025-05,166,1007,1173,61
Assam,Bongaigaon,2025-06,61,0,61,391
Assam,Bongaigaon,2025-07,303,88,391,7196
Assam,Bongaigaon,2025-09,996,6200,7196,9032
Assam,Bongaigaon,2025-10,488,8544,9032,6774
Assam,Bongaigaon,2025-11,615,6159,6774,3018
Assam,Cachar,2025-04,1748,6039,7787,3517
Assam,Cachar,2025-06,1632,1885,3517,9390
Assam,Cachar,2025-07,5873,3517,9390,21256
Assam,Cachar,2025-09,3926,17330,21256,15318
Assam,Cachar,2025-10,2115,13203,15318,12809
Assam,Cachar,2025-11,2454,10355,12809,5909
Assam,Charaideo,2025-04,305,316,621,160
Assam,Charaideo,2025-05,50,110,160,3143
Assam,Charaideo,2025-09,347,2796,3143,1937
Assam,Charaideo,2025-10,194,1743,1937,1948
Assam,Charaideo,2025-11,286,1662,1948,644
Assam,Chirang,2025-03,56,0,56,1577
Assam,Chirang,2025-04,567,1010,1577,2411
Assam,Chirang,2025-07,1309,1102,2411,3103
Assam,Chirang,2025-09,574,2529,3103,5056
Assam,Chirang,2025-10,270,4786,5056,4075
Assam,Chirang,2025-11,465,3610,4075,2776
Assam,Darrang,2025-04,1264,2847,4111,856
Assam,Darrang,2025-05,448,408,856,191
Assam,Darrang,2025-06,98,93,191,344
Assam,Darrang,2025-07,257,87,344,9957
Assam,Darrang,2025-09,2003,7954,9957,7464
Assam,Darrang,2025-10,1212,6252,7464,7069
Assam,Darrang,2025-11,2032,5037,7069,4144
Assam,Dhemaji,2025-03,85,0,85,1108
Assam,Dhemaji,2025-04,407,701,1108,1826
Assam,Dhemaji,2025-05,591,1235,1826,634
Assam,Dhemaji,2025-06,316,318,634,4538
Assam,Dhemaji,2025-07,2538,2000,4538,6895
Assam,Dhemaji,2025-09,1048,5847,6895,6292
Assam,Dhemaji,2025-10,831,5461,6292,4561
Assam,Dhemaji,2025-11,1016,3545,4561,2708
Assam,Dhubri,2025-03,416,0,416,6211
Assam,Dhubri,2025-04,1732,4479,6211,4148
Assam,Dhubri,2025-06,772,3376,4148,1592
Assam,Dhubri,2025-07,1107,485,1592,25908
Assam,Dhubri,2025-09,4556,21352,25908,15127
Assam,Dhubri,2025-10,2059,13068,15127,13334
Assam,Dhubri,2025-11,2288,11046,13334,9008
Assam,Dibrugarh,2025-03,36,0,36,2613
Assam,Dibrugarh,2025-04,514,2099,2613,1406
Assam,Dibrugarh,2025-05,384,1022,1406,1689
Assam,Dibrugarh,2025-06,674,1015,1689,5541
Assam,Dibrugarh,2025-07,2484,3057,5541,8086
Assam,Dibrugarh,2025-09,1184,6902,8086,3790
Assam,Dibrugarh,2025-10,728,3062,3790,5290
Assam,Dibrugarh,2025-11,1081,4209,5290,1950
Assam,Dima Hasao,2025-06,71,0,71,148
Assam,Dima Hasao,2025-07,148,0,148,13
Assam,Dima Hasao,2025-09,13,0,13,17
Assam,Dima Hasao,2025-10,9,8,17,15
Assam,Dima Hasao,2025-11,7,8,15,5
Assam,Goalpara,2025-04,1164,2664,3828,1993
Assam,Goalpara,2025-05,781,1212,1993,135
Assam,Goalpara,2025-06,80,55,135,6327
Assam,Goalpara,2025-07,2898,3429,6327,10653
Assam,Goalpara,2025-09,2456,8197,10653,8258
Assam,Goalpara,2025-10,1132,7126,8258,8003
Assam,Goalpara,2025-11,1449,6554,8003,4855
Assam,Golaghat,2025-04,1213,1178,2391,3095
Assam,Golaghat,2025-05,1863,1232,3095,2096
Assam,Golaghat,2025-06,1265,831,2096,5540
Assam,Golaghat,2025-07,3469,2071,5540,7337
Assam,Golaghat,2025-09,1658,5679,7337,5702
Assam,Golaghat,2025-10,800,4902,5702,6662
Assam,Golaghat,2025-11,1242,5420,6662,2778
Assam,Hailakandi,2025-04,463,659,1122,3209
Assam,Hailakandi,2025-07,1016,2193,3209,8396
Assam,Hailakandi,2025-09,1991,6405,8396,5504
Assam,Hailakandi,2025-10,996,4508,5504,4997
Assam,Hailakandi,2025-11,1200,3797,4997,3383
Assam,Hojai,2025-03,89,0,89,4134
Assam,Hojai,2025-04,1116,3018,4134,893
Assam,Hojai,2025-06,364,529,893,5338
Assam,Hojai,2025-07,2123,3215,5338,9155
Assam,Hojai,2025-09,1711,7444,9155,6874
Assam,Hojai,2025-10,822,6052,6874,6711
Assam,Hojai,2025-11,892,5819,6711,3870
Assam,Jorhat,2025-04,520,882,1402,180
Assam,Jorhat,2025-05,54,126,180,150
Assam,Jorhat,2025-06,56,94,150,2789
Assam,Jorhat,2025-07,1371,1418,2789,3950
Assam,Jorhat,2025-09,906,3044,3950,4863
Assam,Jorhat,2025-10,829,4034,4863,4308
Assam,Jorhat,2025-11,1077,3231,4308,1816
Assam,Kamrup,2025-03,46,0,46,5798
Assam,Kamrup,2025-04,1324,4474,5798,4716
Assam,Kamrup,2025-05,1657,3059,4716,393
Assam,Kamrup,2025-06,207,186,393,10363
Assam,Kamrup,2025-07,4606,5757,10363,15088
Assam,Kamrup,2025-09,2894,12194,15088,11514
Assam,Kamrup,2025-10,1817,9697,11514,8832
Assam,Kamrup,2025-11,1888,6944,8832,5780
Assam,Kamrup Metro,2025-04,885,2346,3231,654
Assam,Kamrup Metro,2025-05,162,492,654,336
Assam,Kamrup Metro,2025-06,174,162,336,1437
Assam,Kamrup Metro,2025-07,509,928,1437,7040
Assam,Kamrup Metro,2025-09,1390,5650,7040,4619
Assam,Kamrup Metro,2025-10,1243,3376,4619,6483
Assam,Kamrup Metro,2025-11,1792,4691,6483,2737
Assam,Karbi Anglong,2025-04,1896,2987,4883,4527
Assam,Karbi Anglong,2025-05,2158,2369,4527,12209
Assam,Karbi Anglong,2025-09,1844,10365,12209,9456
Assam,Karbi Anglong,2025-10,982,8474,9456,12857
Assam,Karbi Anglong,2025-11,1418,11439,12857,2511
Assam,Karimganj,2025-04,1025,1246,2271,1542
Assam,Karimganj,2025-05,761,781,1542,1180
Assam,Karimganj,2025-06,627,553,1180,4906
Assam,Karimganj,2025-07,3171,1735,4906,13405
Assam,Karimganj,2025-09,4570,8835,13405,10135
Assam,Karimganj,2025-10,1636,8499,10135,11906
Assam,Karimganj,2025-11,2840,9066,11906,7764
Assam,Kokrajhar,2025-03,340,0,340,2017
Assam,Kokrajhar,2025-04,564,1453,2017,2300
Assam,Kokrajhar,2025-05,518,1782,2300,718
Assam,Kokrajhar,2025-06,287,431,718,1081
Assam,Kokrajhar,2025-07,576,505,1081,4419
Assam,Kokrajhar,2025-09,894,3525,4419,4687
Assam,Kokrajhar,2025-10,552,4135,4687,4861
Assam,Kokrajhar,2025-11,804,4057,4861,2919
Assam,Lakhimpur,2025-03,101,0,101,2984
Assam,Lakhimpur,2025-04,714,2270,2984,2441
Assam,Lakhimpur,2025-05,747,1694,2441,842
Assam,Lakhimpur,2025-06,451,391,842,1613
Assam,Lakhimpur,2025-07,911,702,1613,10965
Assam,Lakhimpur,2025-09,1949,9016,10965,8166
Assam,Lakhimpur,2025-10,984,7182,8166,6885
Assam,Lakhimpur,2025-11,1017,5868,6885,4209
Assam,Majuli,2025-07,210,213,423,1113
Assam,Majuli,2025-09,196,917,1113,605
Assam,Majuli,2025-10,58,547,605,286
Assam,Majuli,2025-11,51,235,286,296
Assam,Marigaon,2025-03,546,0,546,4489
Assam,Marigaon,2025-04,1093,3396,4489,754
Assam,Marigaon,2025-05,378,376,754,2142
Assam,Marigaon,2025-06,780,1362,2142,4371
Assam,Marigaon,2025-07,2506,1865,4371,13614
Assam,Marigaon,2025-09,2449,11165,13614,9022
Assam,Marigaon,2025-10,1065,7957,9022,7837
Assam,Marigaon,2025-11,1389,6448,7837,6434
Assam,Nagaon,2025-03,56,0,56,3981
Assam,Nagaon,2025-04,776,3205,3981,250
Assam,Nagaon,2025-06,156,94,250,6398
Assam,Nagaon,2025-07,2420,3978,6398,33343
Assam,Nagaon,2025-09,4844,28499,33343,28783
Assam,Nagaon,2025-10,2110,26673,28783,23580
Assam,Nagaon,2025-11,2462,21118,23580,16429
Assam,Nalbari,2025-04,181,209,390,644
Assam,Nalbari,2025-05,246,398,644,7214
Assam,Nalbari,2025-09,1605,5609,7214,4826
Assam,Nalbari,2025-10,906,3920,4826,5038
Assam,Nalbari,2025-11,1083,3955,5038,2015
Assam,North Cachar Hills,2025-04,408,279,687,209
Assam,North Cachar Hills,2025-05,77,132,209,1488
Assam,North Cachar Hills,2025-09,196,1292,1488,783
Assam,North Cachar Hills,2025-10,188,595,783,722
Assam,North Cachar Hills,2025-11,179,543,722,230
Assam,Sibsagar,2025-04,579,355,934,558
Assam,Sibsagar,2025-05,225,333,558,2876
Assam,Sibsagar,2025-09,605,2271,2876,2838
Assam,Sibsagar,2025-10,732,2106,2838,3441
Assam,Sibsagar,2025-11,842,2599,3441,627
Assam,Sivasagar,2025-06,80,0,80,342
Assam,Sonitpur,2025-03,81,0,81,1121
Assam,Sonitpur,2025-04,372,749,1121,573
Assam,Sonitpur,2025-05,253,320,573,321
Assam,Sonitpur,2025-06,284,37,321,1317
Assam,Sonitpur,2025-07,1030,287,1317,11418
Assam,Sonitpur,2025-09,2649,8769,11418,9915
Assam,Sonitpur,2025-10,1780,8135,9915,8589
Assam,Sonitpur,2025-11,2397,6192,8589,5120
Assam,South Salmara Mankachar,2025-04,308,358,666,4649
Assam,South Salmara Mankachar,2025-09,525,4124,4649,2143
Assam,South Salmara Mankachar,2025-10,274,1869,2143,2270
Assam,South Salmara Mankachar,2025-11,343,1927,2270,1015
Assam,Sribhumi,2025-09,47,67,114,90
Assam,Sribhumi,2025-10,29,61,90,246
Assam,Sribhumi,2025-11,77,169,246,79
Assam,Tamulpur District,2025-09,17,52,69,41
Assam,Tamulpur District,2025-10,13,28,41,47
Assam,Tamulpur District,2025-11,18,29,47,50
Assam,Tinsukia,2025-03,355,0,355,1946
Assam,Tinsukia,2025-04,991,955,1946,1339
Assam,Tinsukia,2025-05,600,739,1339,4453
Assam,Tinsukia,2025-07,2507,1946,4453,6787
Assam,Tinsukia,2025-09,1337,5450,6787,6279
Assam,Tinsukia,2025-10,777,5502,6279,5668
Assam,Tinsukia,2025-11,1331,4337,5668,3883
Assam,Udalguri,2025-03,90,0,90,3366
Assam,Udalguri,2025-04,1130,2236,3366,1380
Assam,Udalguri,2025-05,547,833,1380,4721
Assam,Udalguri,2025-09,1050,3671,4721,5242
Assam,Udalguri,2025-10,810,4432,5242,3570
Assam,Udalguri,2025-11,939,2631,3570,2540
Assam,West Karbi Anglong,2025-04,483,325,808,445
Assam,West Karbi Anglong,2025-05,266,179,445,399
Assam,West Karbi Anglong,2025-06,295,104,399,573
Assam,West Karbi Anglong,2025-07,382,191,573,1137
Assam,West Karbi Anglong,2025-09,196,941,1137,618
Assam,West Karbi Anglong,2025-10,113,505,618,676
Assam,West Karbi Anglong,2025-11,152,524,676,264
Bihar,Araria,2025-06,1676,2460,4136,792
Bihar,Araria,2025-07,288,504,792,47649
Bihar,Araria,2025-09,4557,43092,47649,38625
Bihar,Araria,2025-10,4978,33647,38625,29399
Bihar,Araria,2025-11,3518,25881,29399,14791
Bihar,Arwal,2025-05,209,429,638,541
Bihar,Arwal,2025-07,505,36,541,10003
Bihar,Arwal,2025-09,1246,8757,10003,4665
Bihar,Arwal,2025-10,868,3797,4665,7453
Bihar,Arwal,2025-11,1025,6428,7453,2566
Bihar,Aurangabad,2025-09,3633,28463,32096,18938
Bihar,Aurangabad,2025-10,2836,16102,18938,26589
Bihar,Aurangabad,2025-11,3652,22937,26589,10626
Bihar,Banka,2025-06,975,1408,2383,502
Bihar,Banka,2025-07,428,74,502,26736
Bihar,Banka,2025-09,3121,23615,26736,18182
Bihar,Banka,2025-10,2924,15258,18182,23469
Bihar,Banka,2025-11,3291,20178,23469,10075
Bihar,Begusarai,2025-07,762,71,833,40808
Bihar,Begusarai,2025-09,4390,36418,40808,21350
Bihar,Begusarai,2025-10,3143,18207,21350,30147
Bihar,Begusarai,2025-11,3840,26307,30147,14135
Bihar,Bhagalpur,2025-03,71,0,71,13201
Bihar,Bhagalpur,2025-04,1879,11322,13201,8619
Bihar,Bhagalpur,2025-05,2948,5671,8619,9638
Bihar,Bhagalpur,2025-06,3850,5788,9638,1464
Bihar,Bhagalpur,2025-07,557,907,1464,44211
Bihar,Bhagalpur,2025-09,4530,39681,44211,26696
Bihar,Bhagalpur,2025-10,3262,23434,26696,34032
Bihar,Bhagalpur,2025-11,4518,29514,34032,13291
Bihar,Bhojpur,2025-07,823,1223,2046,45657
Bihar,Bhojpur,2025-09,3865,41792,45657,22462
Bihar,Bhojpur,2025-10,3768,18694,22462,25167
Bihar,Bhojpur,2025-11,4489,20678,25167,11681
Bihar,Buxar,2025-09,2806,14503,17309,13343
Bihar,Buxar,2025-10,2185,11158,13343,13644
Bihar,Buxar,2025-11,2171,11473,13644,7230
Bihar,Darbhanga,2025-06,448,500,948,48550
Bihar,Darbhanga,2025-09,6012,42538,48550,31538
Bihar,Darbhanga,2025-10,4389,27149,31538,43893
Bihar,Darbhanga,2025-11,4855,39038,43893,18087
Bihar,Gaya,2025-04,1862,7140,9002,7521
Bihar,Gaya,2025-05,2317,5204,7521,5188
Bihar,Gaya,2025-06,1893,3295,5188,8122
Bihar,Gaya,2025-07,3212,4910,8122,62301
Bihar,Gaya,2025-09,6536,55765,62301,30723
Bihar,Gaya,2025-10,5436,25287,30723,35078
Bihar,Gaya,2025-11,4821,30257,35078,17853
Bihar,Gopalganj,2025-05,907,2722,3629,5166
Bihar,Gopalganj,2025-06,1773,3393,5166,7110
Bihar,Gopalganj,2025-07,2891,4219,7110,26104
Bihar,Gopalganj,2025-09,3426,22678,26104,21875
Bihar,Gopalganj,2025-10,3103,18772,21875,23254
Bihar,Gopalganj,2025-11,2720,20534,23254,11350
Bihar,Jamui,2025-04,1692,2756,4448,1897
Bihar,Jamui,2025-05,550,1347,1897,2449
Bihar,Jamui,2025-06,772,1677,2449,21916
Bihar,Jamui,2025-09,2648,19268,21916,14051
Bihar,Jamui,2025-10,2405,11646,14051,17532
Bihar,Jamui,2025-11,2403,15129,17532,8356
Bihar,Jehanabad,2025-04,418,1623,2041,527
Bihar,Jehanabad,2025-07,256,271,527,14943
Bihar,Jehanabad,2025-09,1472,13471,14943,8327
Bihar,Jehanabad,2025-10,1443,6884,8327,9300
Bihar,Jehanabad,2025-11,1273,8027,9300,3573
Bihar,Kaimur Bhabua,2025-04,357,1540,1897,3275
Bihar,Kaimur Bhabua,2025-05,937,2338,3275,2176
Bihar,Kaimur Bhabua,2025-06,711,1465,2176,1776
Bihar,Kaimur Bhabua,2025-07,694,1082,1776,25143
Bihar,Kaimur Bhabua,2025-09,2425,22718,25143,14527
Bihar,Kaimur Bhabua,2025-10,1307,13220,14527,17631
Bihar,Kaimur Bhabua,2025-11,1333,16298,17631,6617
Bihar,Katihar,2025-05,495,1553,2048,3953
Bihar,Katihar,2025-06,985,2968,3953,61590
Bihar,Katihar,2025-09,5998,55592,61590,41631
Bihar,Katihar,2025-10,4959,36672,41631,48622
Bihar,Katihar,2025-11,4585,44037,48622,17078
Bihar,Khagaria,2025-09,3491,25909,29400,12458
Bihar,Khagaria,2025-10,1941,10517,12458,14658
Bihar,Khagaria,2025-11,2018,12640,14658,9414
Bihar,Kishanganj,2025-09,3406,66630,70036,28647
Bihar,Kishanganj,2025-10,3292,25355,28647,31274
Bihar,Kishanganj,2025-11,2315,28959,31274,15149
Bihar,Lakhisarai,2025-06,786,1808,2594,4483
Bihar,Lakhisarai,2025-07,1608,2875,4483,16249
Bihar,Lakhisarai,2025-09,1305,14944,16249,8441
Bihar,Lakhisarai,2025-10,816,7625,8441,14586
Bihar,Lakhisarai,2025-11,1869,12717,14586,4292
Bihar,Madhepura,2025-09,3378,27806,31184,21499
Bihar,Madhepura,2025-10,2519,18980,21499,19746
Bihar,Madhepura,2025-11,2195,17551,19746,12422
Bihar,Madhubani,2025-03,330,0,330,4754
Bihar,Madhubani,2025-04,933,3821,4754,7158
Bihar,Madhubani,2025-05,1971,5187,7158,6725
Bihar,Madhubani,2025-06,2425,4300,6725,6236
Bihar,Madhubani,2025-07,2141,4095,6236,48588
Bihar,Madhubani,2025-09,5877,42711,48588,38150
Bihar,Madhubani,2025-10,5921,32229,38150,51922
Bihar,Madhubani,2025-11,5920,46002,51922,20720
Bihar,Munger,2025-04,491,1676,2167,1457
Bihar,Munger,2025-06,406,1051,1457,1901
Bihar,Munger,2025-07,699,1202,1901,18698
Bihar,Munger,2025-09,1946,16752,18698,8200
Bihar,Munger,2025-10,1160,7040,8200,12003
Bihar,Munger,2025-11,1471,10532,12003,4453
Bihar,Muzaffarpur,2025-03,74,0,74,9673
Bihar,Muzaffarpur,2025-04,2089,7584,9673,14318
Bihar,Muzaffarpur,2025-05,4366,9952,14318,10951
Bihar,Muzaffarpur,2025-06,3782,7169,10951,5482
Bihar,Muzaffarpur,2025-07,2149,3333,5482,59908
Bihar,Muzaffarpur,2025-09,6202,53706,59908,35300
Bihar,Muzaffarpur,2025-10,4234,31066,35300,50412
